STANDARD_NAME	SAUL_SEN_MAYO
SYSTEMATIC_NAME	MM16098
COLLECTION	M2:CGP
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/SAUL_SEN_MAYO
NAMESPACE	MOUSE_GENE_SYMBOL
DESCRIPTION_BRIEF	Genes upregulated in senescent cells: Senescence-associated secretory phenotype (SASP).
DESCRIPTION_FULL	Although cellular senescence drives multiple age-related co-morbidities through the senescence-associated secretory phenotype, in vivo senescent cell identification remains challenging. Here, we generate a gene set (SenMayo) and validate its enrichment in bone biopsies from two aged human cohorts. We further demonstrate reductions in SenMayo in bone following genetic clearance of senescent cells in mice and in adipose tissue from humans following pharmacological senescent cell clearance. We next use SenMayo to identify senescent hematopoietic or mesenchymal cells at the single cell level from human and murine bone marrow/bone scRNA-seq data. Thus, SenMayo identifies senescent cells across tissues and species with high fidelity. Using this senescence panel, we are able to characterize senescent cells at the single cell level and identify key intercellular signaling pathways. SenMayo also represents a potentially clinically applicable panel for monitoring senescent cell burden with aging and other conditions as well as in studies of senolytic drugs.
PMID	35974106
GEOID	GSE141595,GSE72815
AUTHORS	Saul D,Kosinsky RL,Atkinson EJ,Doolittle ML,Zhang X,LeBrasseur NK,Pignolo RJ,Robbins PD,Niedernhofer LJ,Ikeno Y,Jurk D,Passos JF,Hickson LJ,Xue A,Monroe DG,Tchkonia T,Kirkland JL,Farr JN,Khosla S
CONTRIBUTOR	Dominik Saul
CONTRIBUTOR_ORG	Mayo Clinic Rochester, MN, USA
EXACT_SOURCE	Supplementary Data 1
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
SOURCE_MEMBERS	Acvr1b,Ang,Angpt1,Angptl4,Areg,Axl,Bex3,Bmp2,Bmp6,C3,Ccl1,Ccl13,Ccl16,Ccl2,Ccl20,Ccl24,Ccl26,Ccl3,Ccl3l1,Ccl4,Ccl5,Ccl7,Ccl8,Cd55,Cd9,Csf1,Csf2,Csf2rb,Cst4,Ctnnb1,Ctsb,Cxcl1,Cxcl10,Cxcl12,Cxcl16,Cxcl2,Cxcl3,Cxcl8,Cxcr2,Dkk1,Edn1,Egf,Egfr,Ereg,Esm1,Ets2,Fas,Fgf1,Fgf2,Fgf7,Gdf15,Gem,Gmfg,Hgf,Hmgb1,Icam1,Icam3,Igf1,Igfbp1,Igfbp2,Igfbp3,Igfbp4,Igfbp5,Igfbp6,Igfbp7,Il10,Il13,Il15,Il18,Il1a,Il1b,Il2,Il32,Il6,Il6st,Il7,Inha,Iqgap2,Itga2,Itpka,Jun,Kitlg,Lcp1,Mif,Mmp1,Mmp10,Mmp12,Mmp13,Mmp14,Mmp2,Mmp3,Mmp9,Nap1l4,Nrg1,Pappa,Pecam1,Pgf,Pigf,Plat,Plau,Plaur,Ptbp1,Ptger2,Ptges,Rps6ka5,Scamp4,Selplg,Sema3f,Serpinb4,Serpine1,Serpine2,Spp1,Spx,Timp2,Tnf,Tnfrsf10c,Tnfrsf11b,Tnfrsf1a,Tnfrsf1b,Tubgcp2,Vegfa,Vegfc,Vgf,Wnt16,Wnt2
GENE_SYMBOLS	Acvr1b,Ang,Angpt1,Angptl4,Areg,Axl,Bex3,Bmp2,Bmp6,C3,Ccl1,,,Ccl2,Ccl20,Ccl24,Ccl26,Ccl3,,Ccl4,Ccl5,Ccl7,Ccl8,Cd55,Cd9,Csf1,Csf2,Csf2rb,,Ctnnb1,Ctsb,Cxcl1,Cxcl10,Cxcl12,Cxcl16,Cxcl2,Cxcl3,,Cxcr2,Dkk1,Edn1,Egf,Egfr,Ereg,Esm1,Ets2,Fas,Fgf1,Fgf2,Fgf7,Gdf15,Gem,Gmfg,Hgf,Hmgb1,Icam1,Icam5,Igf1,Igfbp1,Igfbp2,Igfbp3,Igfbp4,Igfbp5,Igfbp6,Igfbp7,Il10,Il13,Il15,Il18,Il1a,Il1b,Il2,,Il6,Il6st,Il7,Inha,Iqgap2,Itga2,Itpka,Jun,Kitl,Lcp1,Mif,Mmp13,Mmp10,Mmp12,Mmp13,Mmp14,Mmp2,Mmp3,Mmp9,Nap1l4,Nrg1,Pappa,Pecam1,Pgf,Pigf,Plat,Plau,Plaur,Ptbp1,Ptger2,Ptges,Rps6ka5,Scamp4,Selplg,Sema3f,Serpinb3c,Serpine1,Serpine2,Spp1,Spx,Timp2,Tnf,,Tnfrsf11b,Tnfrsf1a,Tnfrsf1b,Tubgcp2,Vegfa,Vegfc,Vgf,Wnt16,Wnt2
FOUNDER_NAMES	
